type,entry_time,exit_time,entry_price,exit_price,pnl_pips,pnl_usd,exit_reason
short,2025-12-24 21:15:00+00:00,2025-12-24 22:00:00+00:00,210.33499572753905,210.63499450683594,-32.0,-32.0,Signal (ST Flip / EMA Cross)
short,2025-12-25 00:10:00+00:00,2025-12-25 00:40:00+00:00,210.41600463867186,210.5894989013672,-17.3,-17.35,Stop Loss
long,2025-12-25 00:40:00+00:00,2025-12-25 01:00:00+00:00,210.65900756835939,210.40180816650388,-25.7,-25.72,Stop Loss
short,2025-12-25 01:40:00+00:00,2025-12-25 01:45:00+00:00,210.32800720214843,210.60000610351562,-29.2,-29.2,Signal (ST Flip / EMA Cross)
short,2025-12-25 02:15:00+00:00,2025-12-25 02:30:00+00:00,210.42900512695311,210.6300048828125,-22.1,-22.1,Signal (ST Flip / EMA Cross)
short,2025-12-25 02:35:00+00:00,2025-12-25 02:45:00+00:00,210.43500183105468,210.6929931640625,-27.8,-27.8,Signal (ST Flip / EMA Cross)
short,2025-12-25 03:55:00+00:00,2025-12-25 05:55:00+00:00,210.47699401855468,210.56900024414062,-11.2,-11.2,Signal (ST Flip / EMA Cross)
short,2025-12-25 18:15:00+00:00,2025-12-25 20:10:00+00:00,210.6499981689453,210.6979965209961,-4.8,-4.8,Stop Loss
short,2025-12-25 22:45:00+00:00,2025-12-25 23:50:00+00:00,210.61099670410155,210.8179931640625,-22.7,-22.7,Signal (ST Flip / EMA Cross)
short,2025-12-26 07:00:00+00:00,2025-12-26 07:50:00+00:00,210.71199462890624,210.87399291992188,-18.2,-18.2,Signal (ST Flip / EMA Cross)
short,2025-12-26 16:00:00+00:00,2025-12-26 17:50:00+00:00,211.18599365234374,211.31399536132812,-14.8,-14.8,Signal (ST Flip / EMA Cross)
short,2025-12-26 18:00:00+00:00,2025-12-26 18:10:00+00:00,211.21599243164061,211.29200744628906,-9.6,-9.6,Signal (ST Flip / EMA Cross)
